"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"http://lifeusa.org/orphans","text/html","404","Not Found","Non-Indexable","Client Error","1","0.310","",""
"http://lifeusa.org/refugee","text/html","404","Not Found","Non-Indexable","Client Error","1","0.311","",""
"https://www.lifeusa.org/turkey-syria-eq","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","2","0.145","",""
"http://lifeusa.org/ramadan","text/html","404","Not Found","Non-Indexable","Client Error","1","0.310","",""
