"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=LebanonEmergencyRelief26&CampaignID=701Vy00001Nj9MLIAZ","text/html;charset=UTF-8","200","OK","Indexable","","adb3841232c8c3936d00d47abed04137","117","","https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=LebanonEmergencyRelief26&CampaignID=701Vy00001Nj9MLIAZ"
"https://donation.lifeusa.org/sponsorship?_gl=1*1yt6dhj*_gcl_au*Njk2ODk4OTUyLjE3NTc2OTM0NDUuMTYwMjU1MTQ2MS4xNzYxODQ2MDYyLjE3NjE4NDYwNjE","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","134","","https://donation.lifeusa.org/sponsorship?_gl=1%2A1yt6dhj%2A_gcl_au%2ANjk2ODk4OTUyLjE3NTc2OTM0NDUuMTYwMjU1MTQ2MS4xNzYxODQ2MDYyLjE3NjE4NDYwNjE"
"https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=UkraineEmergencyRelief&CampaignID=701Vy00001QJyCHIA1","text/html;charset=UTF-8","200","OK","Indexable","","adb3841232c8c3936d00d47abed04137","115","","https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=UkraineEmergencyRelief&CampaignID=701Vy00001QJyCHIA1"
